transaction_id,account_id,transaction_date,transaction_type,amount,counterparty_country,counterparty_name,is_cash,is_high_risk,is_sanctions_hit,is_pep,daily_txn_count,high_value_flag,rapid_velocity_flag,high_risk_country_flag,pep_interaction_flag,high_risk_flag,sanctions_hit_score,total_suspicion_score
21240,1061,"2025-06-14 00:00:00",Deposit,-568.75,UAE,Counterparty_736,1,0,1,1,1,0,0,1,1,0,2,4
40464,1404,"2025-09-21 00:00:00",Transfer,-645.72,China,Counterparty_947,0,1,1,0,1,0,0,1,0,1,2,4
24365,361,"2025-05-20 00:00:00",Transfer,915.61,UAE,Counterparty_37,1,1,1,0,1,0,0,1,0,1,2,4
10789,342,"2025-12-24 00:00:00",Transfer,-988.54,UAE,Counterparty_60,1,1,1,0,1,0,0,1,0,1,2,4
42256,428,"2025-03-07 00:00:00",Withdrawal,669.17,UAE,Counterparty_292,1,1,1,0,1,0,0,1,0,1,2,4
12191,1477,"2026-02-04 00:00:00",Transfer,-679.80,China,Counterparty_183,1,1,1,0,1,0,0,1,0,1,2,4
41508,67,"2026-01-08 00:00:00",Withdrawal,-303.51,China,Counterparty_221,1,1,1,0,1,0,0,1,0,1,2,4
42314,492,"2025-11-25 00:00:00",Payment,-783.50,Brazil,Counterparty_107,1,0,1,1,1,0,0,1,1,0,2,4
38497,106,"2025-02-20 00:00:00",Transfer,378.82,Brazil,Counterparty_469,0,1,1,0,2,0,0,1,0,1,2,4
18010,593,"2025-07-24 00:00:00",Withdrawal,191.03,Brazil,Counterparty_759,1,0,1,1,1,0,0,1,1,0,2,4
4013,1395,"2025-06-04 00:00:00",Withdrawal,357.83,China,Counterparty_535,1,1,1,0,1,0,0,1,0,1,2,4
28969,47,"2025-09-20 00:00:00",Withdrawal,806.57,UAE,Counterparty_885,0,1,1,0,1,0,0,1,0,1,2,4
46987,1406,"2025-05-19 00:00:00",Deposit,749.66,UAE,Counterparty_187,0,1,1,0,1,0,0,1,0,1,2,4
19906,709,"2025-09-06 00:00:00",Transfer,544.48,UAE,Counterparty_424,1,1,0,1,1,0,0,1,1,1,0,3
